order=',a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_a: (u)|(A)
_alarm: (u):l(a)rm
_alive: (u):l(I)v
_all: (9l)
_allow: (u):l(8)
_allowed: (u):l(8)d
_allows: (u):l(8)z
_almost: (9l):m(O)st
_alone: (u):l(O)n
_along: (u):l(9)ng
_already: (9l):r(e):d(E)
_alright: (9l):r(I)t
_also: (9l):s(O)
_alternative: (9l):t(3):n(i):dd(i)v
_alternatively: (9l):t(3):n(i):dd(i)v:l(E)
_alternatives: (9l):t(3):n(i):dd(i)vz
_although: (9l):th(O)
_always: (9l):w(A)z
_am: (&)m
_amazing: (u):m(A):z(1)ng
_america: (u):m(A)r:r(i):k(u)
_american: (u):m(A)r:r(i):k(i)n
_americans: (u):m(A)r:r(i):k(i)ns
_among: (u):m(u)ng
_amount: (u):m(8n)t
_amounts: (u):m(8n)ts
_an: (&)n
_analysis: (u):n(@):l(u):s(i)s
_analyst: (&)n:n(u):l(i)st
_analysts: (&)n:n(u):l(i)sts
_ancient: (A)n:ch(i)nt
_ancients: (A)n:ch(i)nts
_and: (&)nd
_anew: (u):n(o)
_anger: (&)n:g(3)
_angrier: (A)n:gr(E):(3)
_angriest: (A)n:gr(E):(i)st
_angry: (A)n:gr(E)
_animal: (&):n(i):m(0)l
_animals: (&):n(i):m(0)lz
_announce: (u):n(8n)s
_announced: (u):n(8n)st
_announces: (u):n(8n):s(i)z
_announcing: (u):n(8n):s(1)ng
_annual: (&)n:y(o):w(0)l
_annuals: (&)n:y(o):w(0)lz
_another: (u):n(u):th(3)
_anotherd: (u):n(u):th(3)d
_answer: (&)n:s(3)
_answered: (&)n:s(3)d
_answers: (&)n:s(3)z
_any: (e):n(E)
_anybody: (e):n(E):b(a):dd(E)
_anybodys: (e):n(E):b(a):dd(E)z
_anyhtingd: (e):n(E):th(1)ngd
_anymore: (e):n(E):m(0)r
_anyone: (e):n(E):w(u)n
_anyones: (e):n(E):w(u)nz
_anything: (e):n(E):th(1)ng
_anythings: (e):n(E):th(1)ngz
_anyway: (e):n(E):w(A)
_anyways: (e):n(E):w(A)z
_anywhere: (e):n(E):w(A)r
_apart: (u):p(a)rt
_apartment: (u):p(a)rt:m(i)nt
_apartments: (u):p(a)rt:m(i)nts
_apparently: (u):p(a)r:r(i)nt:l(E)
_appeal: (u):p(E)l
_appealed: (u):p(E)ld
_appealing: (u):p(E)l:l(1)ng
_appeals: (u):p(E)lz
_appear: (u):p(E)r
_appearance: (u):p(E)r:r(i)ns
_appearances: (u):p(E)r:r(i)n:s(i)z
_appeared: (u):p(E)rd
_appears: (u):p(E)rz
_apple: (@):p(0)l
_application: (@):pl(i):k(A):sh(i)n
_applications: (@):pl(i):k(A):sh(i)nz
_applied: (u):pl(I)d
_applies: (u):pl(I)z
_apply: (u):pl(I)
_applying: (u):pl(I):(1)ng
_appreciate: (u):pr(E):sh(i):(A)t
_appreciated: (u):pr(E):sh(i):(A):dd(i)d
_appreciates: (u):pr(e):sh(i):(A)ts
_appreciating: (u):pr(E):sh(i):(A):dd(1)ng
_approach: (u):pr(O)ch
_approached: (u):pr(O)chd
_approaches: (u):pr(O):ch(i)z
_approaching: (u):pr(O):ch(1)ng
_appropriate: (u):pr(o):pr(i):(i)t
_approval: (u):pr(o):v(0)l
_approve: (u):pr(o)v
_approved: (u):pr(o)vd
_approves: (u):pr(o)vz
_approving: (u):pr(o):v(1)ng
_are: (a)r
_area: (A)r:r(E):(u)
_areas: (A)r:r(E):(u)z
_argue: (a)r:gy(o)
_argued: (a)r:gy(o)d
_argues: (a)r:gy(o)z
_argument: (a)r:gy(o):m(i)nt
_arguments: (a)r:gy(o):m(i)nts
_arm: (a)rm
_armed: (a)rmd
_armies: (a)r:m(E)z
_arms: (a)rmz
_army: (a)r:m(E)
_armys: (a)r:m(E)z
_around: (u):r(8n)d
_arounds: (u):r(8n)dz
_arrive: (u):r(I)v
_arrived: (u):r(I)vd
_arrives: (u):r(I)vz
_arriving: (u):r(I):v(1)ng
_art: (a)rt
_article: (a)r:dd(i):k(0)l
_articles: (a)r:dd(i):k(0)ls
_artist: (a)r:dd(i)st
_artists: (a)r:dd(i)sts
_arts: (a)rts
_as: (@)z
_aside: (u):s(I)d
_ask: (@)sk
_asked: (@)skd
_asks: (@)sks
_aspect: (@)s:p(e)kt
_aspects: (@)s:p(e)ks
_assess: (u):s(e)s
_assessed: (u):s(e)st
_assesses: (u):s(e):s(i)z
_assessing: (u):s(e):s(1)ng
_assessment: (u):s(e)s:m(i)nt
_assessments: (u):s(e)s:m(i)nts
_asset: (@):s(e)t
_assets: (@):s(e)ts
_assistance: (u):s(i)s:t(i)ns
_associate: (u):s(O):sh(E):(i)t
_associated: (u):s(O):sh(E):(A):dd(i)d
_associates: (u):s(O):sh(E):(i)ts
_associating: (u):s(O):sh(E):(A):dd(1)ng
_association: (u):s(O):sh(E):(A):sh(i)n
_associations: (u):s(O):sh(E):(A):sh(i)ns
_assume: (u):s(o)m
_assumed: (u):s(o)md
_assumes: (u):s(o)mz
_assuming: (u):s(o):m(1)ng
_astray: (u):str(A)
_at: (@)t
_ate: (A)t
_athena: (u):th(E):n(u)
_athlete: (@):th(u):l(E)t
_athletes: (@):th(u):l(E)ts
_attached: (u):t(@)cht
_attack: (u):t(@)k
_attacked: (u):t(@)kt
_attacking: (u):t(@):k(1)ng
_attacks: (u):t(@)ks
_attempt: (u):t(e)mpt
_attempted: (u):t(e)mp:t(i)d
_attempting: (u):t(e)mp:t(1)ng
_attempts: (u):t(e)mpts
_attend: (u):t(e)nd
_attended: (u):t(e)n:d(i)d
_attending: (u):t(e)n:d(1)ng
_attends: (u):t(e)ndz
_attention: (u):t(e)n:sh(i)n
_attentional: (u):t(e)n:sh(i)n:n(0)l
_attitude: (@):dd(i):t(u)d
_attitudes: (@):dd(i):t(u)dz
_attorney: (u):t(3):n(E)
_attorneys: (u):t(3):n(E)z
_attract: (u):tr(@)kt
_attracted: (u):tr(@)k:dd(i)d
_attracting: (u):tr(@)k:dd(1)ng
_attracts: (u):tr(@)kts
_audience: (u):d(E):(i)ns
_audiences: (u):d(E):(i)n:s(i)z
_author: (9):th(3)
_authored: (9):th(3)d
_authorities: (u):th(0)r:r(i):dd(E)z
_authority: (u):th(0)r:r(i):dd(E)
_authoritys: (u):th(0)r:r(i):dd(E)z
_authors: (9):th(3)z
_availability: (u):v(A):l(u):b(i):l(i):dd(E)
_available: (u):v(A):l(i):b(0)l
_average: (@):vr(i)j
_averages: (@):vr(i):j(i)z
_avoid: (u):v(Q)d
_avoided: (u):v(Q):d(i)d
_avoiding: (u):v(Q):d(1)ng
_avoids: (u):v(Q)dz
_awake: (u):w(A)k
_awakening: (u):w(A):k(i):n(1)ng
_aware: (u):w(A)r
_away: (u):w(A)
_aways: (u):w(A)z
_awful: (9):f(0)l
_awoke: (u):w(O)k
_babies: b(A):b(E)z
_baby: b(A):b(E)
_babys: b(A):b(E)z
_back: b(@)k
_backed: b(@)kt
_background: b(@)k:gr(8n)d
_backgrounds: b(@)k:gr(8n)dz
_backs: b(@)ks
_bad: b(@)d
_badder: b(@):dd(3)
_baddest: b(@):d(i)st
_bads: b(@)dz
_bag: b(@)g
_bagged: b(@)gd
_bagging: b(@):g(1)ng
_bags: b(@)gz
_balance: b(@):l(i)ns
_balanced: b(@):l(i)nst
_balances: b(@):l(i)n:s(i)s
_balancing: b(@):l(i)n:s(1)ng
_ball: b(9l)
_balls: b(9l)z
_band: b(&)nd
_banded: b(&)n:d(i)d
_bands: b(&)nz
_bang: b(Ang)
_bank: b(A)nk
_banked: b(A)nkd
_banks: b(A)nks
_bar: b(a)r
_barely: b(A)r:l(E)
_baring: b(A)r:r(1)ng
_barred: b(a)rd
_bars: b(a)rz
_base: b(A)s
_baseball: b(A)s:b(9l)
_baseballs: b(A)s:b(9l)z
_based: b(A)st
_bases: b(A):s(i)s
_basic: b(A):s(i)k
_basically: b(A):s(i)k:l(E)
_basics: b(A):s(i)ks
_basis: b(A):s(i)s
_basketball: b(@)s:k(i)t:b(9l)
_basketballs: b(@)s:k(i)t:b(9l)z
_battle: b(@):dd(0)l
_battled: b(@):dd(0)ld
_battles: b(@):dd(0)ls
_battling: b(@):d(0)l:l(1)ng
_be: b(E)
_beach: b(E)ch
_beaches: b(E):ch(i)z
_beams: b(E)mz
_bean: b(E)n
_bear: b(A)r
_bears: b(A)rz
_beat: b(E)t
_beating: b(E):d(1)ng
_beats: b(E)ts
_beautiful: by(o):d(i):f(0)l
_beauty: by(o):dd(E)
_beautys: by(o):dd(E)z
_became: b(E):k(A)m
_because: b(E):k(u)z
_become: b(E):k(u)m
_becomes: b(E):k(u)mz
_bed: b(e)d
_bedroom: b(e)d:r(o)m
_bedrooms: b(e)d:r(o)mz
_beds: b(e)dz
_been: b(i)n|b(e)n
_beer: b(E)r
_beers: b(E)rz
_before: b(E):f(0)r
_beg: b(e)g
_began: b(E):g(&)n
_begin: b(E):g(i)n
_beginning: b(E):g(i):n(1)ng
_beginnings: b(E):g(i):n(1)ngz
_begins: b(E):g(i)nz
_begun: b(E):g(u)n
_behave: b(E):h(A)v
_behaved: b(E):h(A)vd
_behaves: b(E):h(A)vz
_behavior: b(E):h(A):vy(3)
_behaviors: b(E):h(A):vy(3)z
_behind: b(E):h(I)nd
_being: b(E):(1)ng
_beings: b(E):(1)ngz
_belief: b(E):l(E)f
_beliefs: b(E):l(E)fs
_believe: b(E):l(E)v
_believed: b(E):l(E)vd
_believes: b(E):l(E)vz
_bell: b(e)l
_belong: b(u):l(a)ng
_belonged: b(u):l(a)ngd
_belonging: b(u):l(a)n:g(1)ng
_belongings: b(u):l(a)n:g(1)ngz
_belongs: b(u):l(a)ngz
_below: b(u):l(O)
_beneath: b(i):n(E)th
_benefit: b(e):n(i):f(i)t
_benefited: b(e):n(i):f(i):d(i)d
_benefits: b(e):n(i):f(i)ts
_benefitting: b(e):n(i):f(i):d(1)ng
_beside: b(E):s(I)d
_besides: b(E):s(I)dz
_best: b(e)st
_bests: b(e)sts
_better: b(e):d(3)
_betterd: b(e):d(3)d
_between: b(E):tw(E)n
_beyond: b(E):y(9)nd
_bidding: b(i):d(1)ng
_big: b(i)g
_bigger: b(i):g(3)
_biggest: b(i):g(i)st
_bill: b(i)l
_billed: b(i)ld
_billing: b(i):l(1)ng
_billion: b(i):l(E):(i)n|b(i)l:y(i)n
_billions: b(i):l(E):(i)nz|b(i)l:y(i)nz
_bills: b(i)lz
_birb: b(3)b
_bird: b(3)d
_birds: b(3)dz
_birth: b(3)th
_birthday: b(3)th:d(A)
_birthed: b(3)thd
_birthing: b(3):th(1)ng
_births: b(3)ths
_bit: b(i)t
_bite: b(I)t
_bits: b(i)ts
_bitterest: b(i):dd(3):r(i)st
_black: bl(@)k
_blacked: bl(@)kt
_blacken: bl(@):k(i)n
_blacks: bl(@)ks
_blame: bl(A)m
_blamed: bl(A)mt
_blames: bl(A)mz
_blaming: bl(A):m(1)ng
_blasting: bl(@):st(1)ng
_blew: bl(o)
_blind: bl(I)nd
_blinding: bl(I)n:d(1)ng
_block: bl(a)k
_blocked: bl(a)kt
_blocks: bl(a)ks
_blood: bl(u)d
_blooded: bl(u):d(i)d
_bloods: bl(u)dz
_blow: bl(O)
_blowing: bl(O):(1)ng
_blows: bl(O)z
_blue: bl(o)
_blues: bl(o)z
_bluffs: bl(u)fs
_blur: bl(3)
_board: b(0)rd
_boards: b(0)rdz
_boat: b(O)t
_boats: b(O)ts
_bodies: b(a):d(E)z
_body: b(a):d(E)
_bodys: b(a):d(E)z
_bomb: b(9)m
_bombed: b(9)mbd
_bombing: b(9):m(1)ng
_bombs: b(9)mz
_bond: b(a)nd
_bonded: b(a)n:d(i)d
_bonding: b(a)n:d(1)ng
_bonds: b(a)nz
_bone: b(O)n
_boned: b(O)nd
_boner: b(O):n(3)
_bones: b(O)nz
_boning: b(O):n(1)ng
_book: b(6)k
_books: b(6)ks
_border: b(0)r:d(3)
_bordered: b(0)r:d(3)d
_bordering: b(0)r:d(3):r(1)ng
_borders: b(0)r:d(3)z
_bore: b(0)r
_boring: b(0)r:r(1)ng
_born: b(0)rn
_both: b(O)th
_bothered: b(a):dh(3)d
_boths: b(O)ths
_bottle: b(a):dd(0)l
_bottled: b(a):dd(0)ld
_bottles: b(a):dd(0)ls
_bottling: b(a):dd(0)l:l(1)ng
_bottom: b(a):dd(u)m
_bottomed: b(a):dd(u)md
_bottoming: b(a):dd(u):m(1)ng
_bottoms: b(a):dd(u)mz
_bought: b(9)t
_bounce: b(8n)s
_bound: b(8n)d
_bout: b(8)t
_bowl: b(0)l
_bowled: b(0)ld
_bowling: b(0)l:(1)ng
_bowls: b(0)lz
_box: b(9)ks
_boxed: b(9)kst
_boxes: b(9)k:s(i)z
_boxing: b(9)k:s(1)ng
_boy: b(Q)
_boys: b(Q)z
_brace: br(A)s
_brain: br(A)n
_brains: br(A)nz
_branch: br(&)nch
_branched: br(&)ncht
_branches: br(&)n:ch(i)z
_branching: br(&)n:ch(1)ng
_bread: br(e)d
_breaded: br(e):d(i)d
_breads: br(e)dz
_break: br(A)k
_breaking: br(A):k(1)ng
_breaks: br(A)ks
_breast: br(e)st
_breasts: br(e)sts
_breath: br(e)th
_bridge: br(i)j
_bridged: br(i)jd
_bridges: br(i):j(i)z
_bright: br(I)t
_brighter: br(I):d(3)
_brightest: br(I):d(i)st
_brightly: br(I)t:l(E)
_bring: br(1)ng
_bringing: br(1)ng:(1)ng
_brings: br(1)ngz
_british: br(i):t(i)sh
_broad: br(a)d
_broads: br(a)dz
_broke: br(O)k
_broken: br(O):k(i)n
_broom: br(o)m
_brother: br(u):th(3)
_brothers: br(u):th(3)z
_brought: br(9)t
_brown: br(8n)
_browns: br(8n)z
_brushed: br(u)sht
_bucket: b(u):k(i)t
_budget: b(u):j(i)t
_budgeted: b(u):j(i):d(i)d
_budgets: b(u):j(i)ts
_build: b(i)ld
_building: b(i)l:d(1)ng
_buildings: b(i)l:d(1)ngz
_builds: b(i)ldz
_built: b(i)lt
_bum: b(u)m
_burn: b(3)n
_burning: b(3):n(1)ng
_burns: b(3)nz
_burnt: b(3)nt
_burst: b(3)st
_bus: b(u)s
_buses: b(u):s(i)z
_busier: b(i):z(E):(3)
_busiest: b(i):z(E):(i)st
_business: b(i)z:n(i)s
_businesses: b(i)z:n(i):s(i)z
_busy: b(i):z(E)
_but: b(u)t
_buts: b(u)ts
_buy: b(I)
_buys: b(I)z
_by: b(I)
_bye: b(I)
_cable: k(A):b(0)l
_cables: k(A):b(0)lz
_cake: k(A)k
_call: k(9l)
_called: k(9l)d
_calls: k(9l)z
_came: k(A)m
_camera: k(&)m:r(u)
_cameras: k(&)m:r(u)z
_camp: k(&)mp
_campaign: k(&)m:p(A)n
_campaigned: k(&)m:p(A)nd
_campaigns: k(&)m:p(A)nz
_camped: k(&)mpt
_camping: k(&)m:p(1)ng
_camps: k(&)mps
_campus: k(&)m:p(i)s
_can: k(&)n
_can't: k(&)nt
_cancer: k(&)n:s(3)
_cancers: k(&)n:s(3)z
_candidate: k(&)n:d(i):d(A)t|k(&)n:d(i):d(i)t
_candidates: k(&)n:d(i):d(A)ts|k(&)n:d(i):d(i)ts
_cannot: k(&)n:n(a)t
_cans: k(&)nz
_capacities: k(u):p(@):s(i):dd(E)z
_capacity: k(u):p(@):s(i):dd(E)
_capital: k(@):p(i):t(0)l
_capitals: k(@):p(i):t(0)lz
_capture: k(@)p:ch(3)
_captured: k(@)p:ch(3)d
_captures: k(@)p:ch(3)z
_capturing: k(@)p:ch(3):r(1)ng
_car: k(a)r
_caramel: k(A)r:r(u):m(e)l|k(A)r:m(e)l
_card: k(a)rd
_carded: k(a)r:d(i)d
_cards: k(a)rdz
_care: k(A)r
_cared: k(A)rd
_career: k(u):r(E)r
_careers: k(u):r(E)rz
_careful: k(A)r:f(0)l
_carefully: k(A)r:f(u):l(E)
_cares: k(A)rz
_carried: k(A)r:r(E)d
_carries: k(A)r:r(E)z
_carry: k(A)r:r(E)
_cars: k(a)rz
_case: k(A)s
_cases: k(A):s(i)z
_cash: k(@)sh
_cashed: k(@)sht
_cast: k(@)st
_casted: k(@)s:t(i)d
_casting: k(@)s:t(1)ng
_castle: k(@):s(0)l
_casts: k(@)sts
_cat: k(@)t
_catch: k(e)ch
_catches: k(e):ch(i)z
_categories: k(@):dd(i):g(0)r:r(E)z
_category: k(@):dd(i):g(0)r:r(E)
_catholic: k(@)th:l(i)k
_catholics: k(@)th:l(i)ks
_cats: k(@)ts
_caught: k(9)t
_cause: k(9)z
_caused: k(9)st
_causes: k(9):z(i)z
_celebrate: s(e):l(i):br(A)t
_celebrated: s(e):l(i):br(A):dd(i)d
_celebrates: s(e):l(i):br(A)ts
_celebrating: s(e):l(i):br(A):dd(1)ng
_celebration: s(e):l(i):br(A):sh(i)n
_cell: s(e)l
_cells: s(e)ls
_center: s(e)n:t(3)
_centered: s(e)n:t(3)d
_centers: s(e)n:t(3)s
_central: s(e)n:tr(0)l
_centuries: s(e)n:ch(3):r(E)z
_century: s(e)n:ch(3):r(E)
_centurys: s(e)n:ch(3):r(E)z
_certain: s(3):t(i)n
_certainly: s(3):t(i)n:l(E)
_chain: ch(A)n
_chained: ch(A)nd
_chaining: ch(A):n(1)ng
_chains: ch(A)nz
_chair: ch(A)r
_chairman: ch(A)r:m(i)n
_chairmen: ch(A)r:m(e)n
_chairs: ch(A)rs
_challenge: ch(@):l(i)nj
_challenged: ch(@):l(i)njd
_challenges: ch(@):l(i)n:j(i)z
_challenging: ch(@):l(i)n:j(1)ng
_chance: ch(&)ns
_chanced: ch(&)nst
_chances: ch(&)n:s(i)z
_change: ch(A)nj
_changed: ch(A)njd
_changes: ch(A)n:j(i)s
_character: k(a)r:r(i)k:t(3)
_characteristic: k(a)r:r(i)k:t(3):r(i)s:t(i)k
_characteristics: k(a)r:r(i)k:t(3):r(i)s:t(i)ks
_characters: k(a)r:r(i)k:t(3)z
_charge: ch(a)rj
_charged: ch(a)rjd
_charges: ch(a)r:j(i)z
_charging: ch(a)r:j(1)ng
_charred: ch(a)rd
_cheap: ch(E)p
_cheaper: ch(E):p(3)
_cheapest: ch(E):p(i)st
_cheating: ch(E):dd(1)ng
_check: ch(e)k
_checked: ch(e)kt
_checking: ch(e):k(1)ng
_checks: ch(e)ks
_cheese: ch(E)z
_cheesed: ch(E)zd
_cheeses: ch(E):z(i)z
_chest: ch(e)st
_chests: ch(e)sts
_chicken: ch(i):k(i)n
_chickened: ch(i):k(i)nd
_chickens: ch(i):k(i)ns
_chief: ch(E)f
_chiefs: ch(E)fs
_child: ch(I):(O)ld|ch(I)ld
_childhood: ch(I)ld:h(6)d|ch(I):(0)ld:h(6)d
_childhoods: ch(I)ld:h(6)dz|ch(I):(0)ld:h(6)dz
_children: ch(i)l:dr(e)n
_childs: ch(I):(0)ldz
_chinese: ch(I):n(E)z
_choice: ch(Q)s
_choices: ch(Q):s(i)z
_choose: ch(o)z
_chooses: ch(o):z(i)z
_chose: ch(O)z
_chosen: ch(O):z(i)n
_christian: kr(i)s:ch(i)n
_christians: kr(i)s:ch(i)nz
_christmas: kr(i)s:m(i)s
_church: ch(3)ch
_churches: ch(3):ch(i)z
_cigarette: s(i):g(u):r(e)t
_cigarettes: s(i):g(u):r(e)ts
_cinderella: s(i)n:d(3):r(e)l:l(u)
_circle: s(3):k(0)l
_circles: s(3):k(0)lz
_circumstance: s(3):k(u)m:st(&)ns
_circumstances: s(3):k(u)m:st(&)n:s(i)z
_cite: s(I)t
_cited: s(I):dd(i)d
_cites: s(I)ts
_cities: s(i):t(E)z
_citing: s(I):dd(1)ng
_citizen: s(i):d(u):s(i)n
_citizens: s(i):d(u):s(i)nz
_city: s(i):d(E)
_citys: s(i):d(E)z
_civil: s(i):v(0)l
_claim: kl(A)m
_claimed: kl(A)md
_claiming: kl(A):m(1)ng
_claims: kl(A)mz
_class: kl(@)s
_classes: kl(@):s(i)z
_classmates: kl(@)s:m(A)ts
_classroom: kl(@)s:r(o)m
_classrooms: kl(@)s:r(o)mz
_clean: kl(E)n
_cleaned: kl(E)nd
_cleaners: kl(E):n(3)s
_cleaning: kl(E):n(1)ng
_cleans: kl(E)nz
_cleansers: kl(e)n:z(3)z
_clear: kl(E)r
_cleared: kl(E)rd
_clearly: kl(E)r:l(E)
_clears: kl(E)rz
_client: kl(I):(i)nt
_clients: kl(I):(i)nts
_cliff: kl(i)f
_climate: kl(I):m(i)t
_climates: kl(I):m(i)ts
_climb: kl(I)m
_climbed: kl(I)md
_climbing: kl(I):m(1)ng
_climbs: kl(I)mz
_clinging: kl(1)ng:(1)ng
_clocks: kl(9)ks
_close: kl(O)s
_closed: kl(O)st
_closely: kl(O)s:l(E)
_closer: kl(O):s(3)
_closes: kl(O):z(i)z
_closing: kl(O):z(1)ng
_clothed: kl(O)thd
_clothes: kl(O)ths
_clothing: kl(O):th(1)ng
_cloud: kl(8)d
_clouds: kl(8)dz
_club: kl(u)b
_clubbed: kl(u)bd
_clubbing: kl(u):b(1)ng
_clubs: kl(u)bz
_coach: k(O)ch
_coached: k(O)cht
_coaches: k(O):ch(i)z
_coaching: k(O):ch(1)ng
_code: k(O)d
_coded: k(O):d(i)d
_codes: k(O)dz
_coding: k(O):d(1)ng
_coffee: k(a):f(E)
_cold: k(0)ld
_colder: k(0)l:d(3)
_coldest: k(0)l:d(i)st
_colds: k(0)ldz
_colleague: k(a):l(E)g
_colleagues: k(a):l(E)gz
_collect: k(u):l(e)kt
_collected: k(u):l(e)k:t(i)d
_collecting: k(u):l(e)k:t(1)ng
_collection: k(u):l(e)k:sh(i)n
_collections: k(u):l(e)k:sh(i)ns
_collects: k(u):l(e)kts
_college: k(a):l(i)j
_colleges: k(a):l(i):j(i)z
_color: k(u):l(3)
_colored: k(u):l(3)d
_colorful: k(u):l(3):f(0)l
_coloring: k(u):l(3):r(1)ng
_colors: k(u):l(3)z
_column: k(9):l(u)m
_columns: k(9):l(u)mz
_combination: k(a)m:b(i):n(A):sh(i)n
_combinations: k(a)m:b(i):n(A):sh(i)nz
_combine: k(u)m:b(I)n
_combined: k(u)m:b(I)nd
_combines: k(u)m:b(I)ns
_combining: k(u)m:b(I):n(1)ng
_come: k(u)m
_comes: k(u)mz
_comfortable: k(u)mf:t(3):b(0)l
_coming: k(u):m(1)ng
_comment: k(a):m(e)nt
_commented: k(a):m(e)n:t(i)d
_commenting: k(a):m(e)n:t(1)ng
_comments: k(a):m(e)nts
_commercial: k(u):m(3):sh(0)l
_commercials: k(u):m(3):sh(0)lz
_commit: k(u):m(i)t
_commitment: k(u):m(i)t:m(i)nt
_commitments: k(u):m(i)t:m(i)nts
