_a: u
_backgrounds: b@,@k:gr8,8nds
_backs: b@,@ks
_bad: b@,@d
_badder: b@:d3
_baddest: b@:di,ist
_bads: b@,@ds
_bag: b@,@g
_bagged: b@,@gd
_bagging: b@:g1,1ng
_bags: b@,@gz
_balance: b@:li,ins
_balanced: b@:li,insd
_balances: b@:li,in:si,is
_balancing: b@:li,in:s1,1ng
_ball: b9,9l
_balls: b9,9ls
_band: b&,&nd
_banded: b&,&n:di,id
_bands: b&,&nds
_bang: ba,ang
_bank: b&,&nk
_banked: b&,&nkd
_banks: b&,&nks
_bar: ba,ar
_barely: bA,Ar:lE
_baring: bA,Ar:r1,1ng
_barred: ba,ard
_bars: ba,arz
_base: bA,As
_baseball: bA,As:b9,9l
_baseballs: bA,As:b9,9ls
_based: bA,Asd
_bases: bA:si,is
_basic: bA:si,ik
_basically: bA:si,ik:lE
_basics: bA:si,iks
_basis: bA:si,is
_basketball: b@,@s:ki,it:b9,9l
_basketballs: b@,@s:ki,it:b9,9ls
_battle: b@:t0,0l
_battled: b@:t0,0ld
_battles: b@:t0,0ls
_battling: b@:d0,0l:l1,1ng
_be: bE
_beach: bE,Ech
_beaches: bE:chi,iz
_beams: bE,Emz
_bean: be,en
_bear: bA,Ar
_bears: bA,Arz
_beat: bE,Et
_beating: bE:t1,1ng
_beats: bE,Ets
_beautiful: bU:ti:f0,0l
_beauty: bU:ddE
_beautys: bU:ddE,Ez
_became: bE:kA,Am
_because: bE:ku,uz
_become: bE:ku,um
_becomes: bE:ku,ums
_bed: be,ed
_bedroom: be,ed:ro,om
_bedrooms: be,ed:ro,oms
_beds: be,eds
_been: bi,in
_beer: bE,Er
_beers: bE,Ers
_before: bE:f0,0r
_beg: be,eg
_began: be:g&,&n
_begin: bE:gi,in
_beginning: bE:gi:n1,1ng
_beginnings: bE:gi:n1,1ngz
_begins: bE:gi,ins
_begun: bE:gu,un
_behave: bE:hA,Av
_behaved: bE:hA,Avd
_behaves: bE:hA,Avz
_behavior: bE:hA:vy3
_behaviors: bE:hA,vy3,3z
_behind: bE:hI,Ind
_being: bE:1,1ng
_beings: bE:1,1ngz
_belief: bu:lE,Ef
_beliefs: bu:lE,Efs
_believe: bu:lE,Ev
_believed: bu:lE,Evd
_believes: bu:lE,Evz
_bell: be,el
_belong: bu:la,ang
_belonged: bu:la,angd
_belonging: bu:la,an:g1,1ng
_belongings: bu:la,an:g1,1ngz
_belongs: bu:la,angz
_below: bu:lO
_beneath: bi:nE,Eth
_benefit: be:ni:fi,it
_benefited: be:ni:fi:ti,id
_benefits: be:ni:fi,its
_benefitting: be:ni:fi:t1,1ng
_beside: bi:sI,Id
_besides: bi:sI,Ids
_best: be,est
_bests: be,ests
_better: be:t3
_betterd: be:t3,3d
_between: bE:twE,En
_beyond: bE:y9,9nd
_bidding: bi:d1,1ng
_big: bi,ig
_bigger: bi:g3
_biggest: bi:gi,ist
_bill: bi,il
_billed: bi,ild
_billing: bi:l1,1ng
_billion: bi:lE:i,in
_billions: bi:lE:i,ins
_bills: bi,ils
_birb: b3,3b
_bird: b3,3d
_birds: b3,3ds
_birth: b3,3th
_birthday: b3,3th:dA
_birthed: b3,3thd
_birthing: b3:th1,1ng
_births: b3,3ths
_bit: bi,it
_bite: bI,It
_bits: bi,its
_bitterest: bi:dd3:ri,ist
_black: bl@,@k
_blacked: bl@,@kd
_blacken: bl@:ki,in
_blacks: bl@,@ks
_blame: blA,Am
_blamed: blA,Amd
_blames: blA,Amz
_blaming: blA:m1,1ng
_blasting: bl@:s1,1ng
_blew: blo
_blind: blI,Ind
_blinding: blI,In:d1,1ng
_block: bla,ak
_blocked: bla,akd
_blocks: bla,aks
_blood: blu,ud
_blooded: blu:di,id
_bloods: blu,uds
_blow: blO
_blowing: blO:1,1ng
_blows: blO,Oz
_blue: blo
_blues: blo,oz
_bluffs: blu,ufs
_blur: bl3
_board: b0,0rd
_boards: b0,0rds
_boat: bO,Ot
_boats: bO,Ots
_bodies: ba:dE,Es
_body: ba:dE
_bodys: ba:dE,Es
_bomb: ba,am
_bombed: ba,ambd
_bombing: ba:m1,1ng
_bombs: ba,amz
_bond: ba,and
_bonded: ba,an:di,id
_bonding: ba,an:d1,1ng
_bonds: ba,anz
_bone: bO,On
_boned: bO,Ond
_boner: bO:n3
_bones: bO,Onz
_boning: bO:n1,1ng
_book: b6,6k
_books: b6,6ks
_border: b0,0r:d3
_bordered: b0,0r:d3,3d
_bordering: b0,0r:d3:r1,1ng
_borders: b0,0r:d3,3z
_boring: b0,0r:r1,1ng
_born: b0,0rn
_both: bO,Oth
_bothered: ba:dh3,3d
_boths: bO,Oths
_bottle: ba:dd0,0l
_bottled: ba:dd0,0ld
_bottles: ba:dd0,0ls
_bottling: ba:dd0:l1,1ng
_bottom: ba:ddu,um
_bottomed: ba:ddu,umd
_bottoming: ba:ddu:m1,1ng
_bottoms: ba:ddu,ums
_bought: b9,9t
_bounce: b8,8ns
_bound: b8,8nd
_bout: b8,8t
_bowl: b0,0l
_bowled: b0,0ld
_bowling: b0:l1,1ng
_bowls: b0,0lz
_box: b9,9ks
_boxed: b9,9ksd
_boxes: b9,9k:si,iz
_boxing: b9,9k:s1,1ng
_boy: bQ
_boys: bQ,Qz
_brace: brA,As
_brain: brA,An
_brains: brA,Anz
_branch: br&,&nch
_branched: br&,&nchd
_branches: br&,&n:chi,iz
_branching: br&,&n:ch1,1ng
_bread: bre,ed
_breaded: bre:di,id
_breads: bre,eds
_break: brA,Ak
_breaking: brA:k1,1ng
_breaks: brA,Aks
_breast: bre,est
_breasts: bre,ests
_breath: bre,eth
_bridge: bri,ij
_bridged: bri,ijd
_bridges: bri:ji,iz
_bright: brI,It
_brighter: brI:t3
_brightest: brI:ti,ist
_brightly: brI,It:lE
_bring: br1,1ng
_bringing: br1,1n:g1,1ng
_brings: br1,1ngz
_british: bri:ti,ish
_broad: bra,ad
_broads: bra,ads
_broke: brO,Ok
_broken: brO:ki,in
_broom: bro,om
_brother: bru:th3
_brothers: bru:th3,3z
_brought: br9,9t
_brown: br8,8n
_browns: br8,8ns
_brushed: bru,usht
_bucket: bu:ki,it
_budget: bu:ji,it
_budgeted: bu:ji:ti,id
_budgets: bu:ji,its
_build: bi,ild
_building: bi,il:d1,1ng
_buildings: bi,il:d1,1ngz
_builds: bi,ilds
_built: bi,ilt
_bum: bu,um
_burn: b3,3n
_burning: b3:n1,1ng
_burns: b3,3nz
_burnt: b3,3nt
_burst: b3,3st
_bus: bu,us
_buses: bu:si,is
_busier: bi:zE:3
_busiest: bi:zE:i,ist
_business: bi,iz:ni,is
_businesses: bi,iz:ni:si,is
_busy: bi:zE
_but: bu,ut
_buts: bu,uts
_buy: bI
_buys: bI,Is
_by: bI
_bye: bI
_cable: kA:b0,0l
_cables: kA:b0,0ls
_cake: kA,Ak
_call: k9,9l
_called: k9,9ld
_calls: k9,9ls
_came: kA,Am
_camera: k&,&m:ru
_cameras: k&,&m:ru,uz
_camp: k&,&mp
_campaign: k&,&m:pA,An
_campaigned: k&,&m:pA,And
_campaigns: k&,&m:pA,Ans
_camped: k&,&mpd
_camping: k&,&m:p1,1ng
_camps: k&,&mps
_campus: k&,&m:pi,is
_can: k&,&n
_cancer: k&,&n:s3
_cancers: k&,&n:s3,3s
_candidate: k&,&n:di:dA,At
_candidates: k&,&n:di:dA,Ats
_cannot: k&,&n:na,at
_cans: k&,&ns
_cant: k&,&nt
_capacities: ku:p@:si:ddE,Ez
_capacity: ku:p@:si:ddE
_capital: k@:pi:t0,0l
_capitals: k@:pi:t0,0ls
_capture: k@,@p:ch3
_captured: k@,@p:ch3,3d
_captures: k@,@p:ch3,3z
_capturing: k@,@p:ch3:r1,1ng
_car: ka,ar
_caramel: kA,Ar:ru:me,el
_card: ka,ard
_carded: ka,ar:di,id
_cards: ka,ards
_care: kA,Ar
_cared: kA,Ard
_career: ku:rE,Er
_careers: ku:rE,Ers
_careful: kA,Ar:f0,0l
_carefully: kA,Ar:f0:lE
_cares: kA,Ars
_carried: kA,Ar:rE,Ed
_carries: kA,Ar:rE:ez
_carry: kA,Ar:rE
_cars: ka,ars
_case: kA,As
_cases: kA:si,is
_cash: k@,@sh
_cashed: k@,@shd
_cast: k@,@st
_casted: k@,@s:ti,id
_casting: k@,@s:t1,1ng
_castle: k@:s0,0l
_casts: k@,@sts
_cat: k@,@t
_catch: ke,ech
_catches: ke:chi,iz
_categories: k@:ddi:g0,0r:rE,Ez
_category: k@:ddi:g0,0r:rE
_catholic: k@,@th:li,ik
_catholics: k@,@th:li,iks
_cats: k@,@ts
_caught: k9,9t
_cause: k9,9z
_caused: k9,9sd
_causes: k9:zi,iz
_celebrate: se:li:brA,At
_celebrated: se:li:brA:ddi,id
_celebrates: se:li:brA,Ats
_celebrating: se:li:brA:dd1,1ng
_celebration: se:li:brA:shi,in
_cell: se,el
_cells: se,els
_center: se,en:t3
_centered: se,en:t3,3d
_centers: se,en:t3,3s
_central: se,en:tr0,0l
_centuries: se,en:ch3:rE,Ez
_century: se,en:ch3:rE
_centurys: se,en:ch3:rE,Ez
_certain: s3:ti,in
_certainly: s3:ti,in:lE
_chain: chA,An
_chained: chA,And
_chaining: chA:n1,1ng
_chains: chA,Anz
_chair: chA,Ar
_chairman: chA,Ar:mi,in
_chairmen: chA,Ar:me,en
_chairs: chA,Ars
_challenge: ch@:li,inj
_challenged: ch@:li,injd
_challenges: ch@:li,in:ji,iz
_challenging: ch@:li,in:j1,1ng
_chance: ch&,&ns
_chanced: ch&,&nsd
_chances: ch&,&n:si,iz
_change: chA,Anj
_changed: chA,Anjd
_changes: chA,An:ji,is
_character: ka,ar:ri,ik:t3
_characteristic: ka,ar:ri,ik:t3:ri,is:ti,ik
_characteristics: ka,ar:ri,ik:t3:ri,is:ti,iks
_characters: ka,ar:ri,ik:t3,3z
_charge: cha,arj
_charged: cha,arjd
_charges: cha,ar:ji,iz
_charging: cha,ar:j1,1ng
_charred: cha,ard
_cheap: chE,Ep
_cheaper: chE:p3
_cheapest: chE:pi,ist
_check: che,ek
_checked: che,ekd
_checking: che:k1,1ng
_checks: che,eks
_cheese: chE,Ez
_cheesed: chE,Ezd
_cheeses: chE:zi,iz
_chest: che,est
_chests: che,ests
_chicken: chi:ki,in
_chickened: chi:ki,ind
_chickens: chi:ki,ins
_chief: chE,Ef
_chiefs: chE,Efs
_child: chI:yO,Old
_childhood: chI,Ild:h6,6d
_childhoods: chI,Ild:h6,6ds
_children: chi,il:dre,en
_childs: chI:yO,Olds
_chinese: chI:nE,Ez
_choice: chQ,Qs
_choices: chQ:si,iz
_choose: cho,oz
_chooses: cho:zi,iz
_chose: chO,Oz
_chosen: chO:zi,in
_christian: kri,is:chi,in
_christians: kri,is:chi,ins
_christmas: kri,is:mi,is
_church: ch3,3ch
_churches: ch3:chi,iz
_cigarette: si:g3:re,et
_cigarettes: si:g3:re,ets
_cinderella: si,in:d3:re,el:lu
_circle: s3:k0,0l
_circles: s3:k0,0ls
_circumstance: s3:ku,um:st&,&ns
_circumstances: s3:ku,um:st&,&n:si,iz
_cite: sI,It
_cited: sI:ddi,id
_cites: sI,Its
_cities: ci:tE,Ez
_citing: sI:dd1,1ng
_citizen: si:dhu:si,in
_citizens: si:dhu:si,inz
_city: si:tE
_citys: si:tE,Ez
_civil: si:v0,0l
_claim: klA,Am
_claimed: klA,Amd
_claiming: klA:m1,1ng
_claims: klA,Amz
_class: kl@,@s
_classes: kl@:si,iz
_classmates: kl@,@s:mA,Ats
_classroom: kl@,@s:ro,om
_classrooms: kl@,@s:ro,oms
_clean: klE,En
_cleaned: klE,End
_cleaners: clE:n3,3s
_cleaning: klE:n1,1ng
_cleans: klE,Ens
_cleansers: n
_clear: klE,3
_cleared: klE,3,3d
_clearly: klE,Er:lE
_clears: klE,3,3s
_client: klI:i,int
_clients: klI:i,ints
_climate: klI:mi,it
_climates: klI:mi,its
_climb: klI,Im
_climbed: klI,Imd
_climbing: klI:m1,1ng
_climbs: klI,Ims
_close: clO,Os
_closed: clO,Osd
_closely: klO,Os:lE
_closer: klO:s3
_closes: clO:zi,iz
_closing: klO:z1,1ng
_clothed: klO,Othd
_clothes: klO,Oths
_clothing: klO:th1,1ng
_cloud: kl8,8d
_clouds: kl8,8ds
_club: klu,ub
_clubbed: klu,ubd
_clubbing: klu:b1,1ng
_clubs: klu,ubz
_coach: kO,Och
_coached: kO,Ochd
_coaches: kO:chi,iz
_coaching: kO:ch1,1ng
_code: kO,Od
_coded: kO:di,id
_codes: kO,Odz
_coding: kO:d1,1ng
_coffee: ka:fE
_cold: k0,0ld
_colder: k0,0l:d3
_coldest: k0,0l:di,ist
_colds: k0,0lds
_colleague: ka:lE,Eg
_colleagues: ka:lE,Egz
_collect: ku:le,ekt
_collected: ku:le,ek:ti,id
_collecting: ku:le,ek:t1,1ng
_collection: ku:le,ek:shi,in
_collections: ku:le,ek:shi,ins
_collects: ku:le,ekts
_college: ka:li,ij
_colleges: ka:li:ji,iz
_color: ku:l3
_colored: ku:l3,3d
_colorful: ku:l3:f0,0l
_coloring: ku:l3:r1,1ng
_colors: ku:l3,3z
_column: k9:lu,um
_columns: k9:lu,ums
_combination: ka,am:bi,in:nA:shi,in
_combinations: ka,am:bi,in:nA:shi,ins
_combine: ku,um:bI,In
_combined: ku,um:bI,Ind
_combines: ku,um:bI,Ins
_combining: ku,um:bI:n1,1ng
_come: ku,um
_comes: ku,ums
_comfortable: ku,umf:t3:b0,0l
_coming: ku:m1,1ng
_comment: ka:me,ent
_commented: ka:me,en:ti,id
_commenting: ka:me,en:t1,1ng
_comments: ka:me,ents
_commercial: ku:m3:sh0,0l
_commercials: ku:m3:sh0,0lz
_commit: ku:mi,it
_commitment: ku:mi,it:mi,int
_commitments: ku:mi,it:mi,ints
_commits: ku:mi,its
_committed: ku:mi:di,id
_committee: ku:mi:ddE
_committees: ku:mi:ddE,Es
_committing: ku:mi:d1,1ng
_common: ka:mi,in
_commoner: ka:mi,in:n3
_commons: ka:mi,ins
_communicated: ku:mU:ni:kA:ti,id
_communicating: ku:mU:ni:kA:t1,1ng
_communication: ku:mU:ni:kA:shi,in
_communications: ku:mU:ni:kA:shi,ins
_communities: ku:mU:ni:tE,Es
_community: ku:mU:ni:tE
_communitys: ku:mU:ni:tE,Es
_companies: ku,um:pi:nE,Ez
_company: ku,um:pi:nE
_companys: ku,um:pi:nE,Ez
_compare: ku,um:pA,Ar
_compared: ku,um:pA,Ard
_compares: ku,um:pA,Arz
_comparing: ku,um:pA,Ar:r1,1ng
_compete: ku,um:pE,Et
_competed: ku,um:pE:ddi,id
_competes: ku,um:pE,Ets
_competing: ku,um:pE:dd1,1ng
_competition: ka,am:pi:ti:shi,in
_complain: ku,um:plA,An
_complained: ku,um:plA,And
_complaining: ku,um:plA:n1,1ng
_complains: ku,um:plA,Ans
_complete: ku,um:plE,Et
_completed: ku,um:plE:ti,id
_completely: ku,um:plE,Et:lE
_completes: ku,um:plE,Ets
_completing: ku,um:plE:t1,1ng
_complex: ku,um:ple,eks
_complexed: ku,um:ple,eksd
_complexing: ku,um:ple,ek:s1,1ng
_component: ku,um:pO:ni,int
_components: ku,um:pO:ni,ints
_computer: ku,um:pU:t3
_computers: ku,um:pU:t3,3z
_concept: ka,an:se,ept
_concepts: ka,an:se,epts
_concern: ku,un:s3,3n
_concerned: ku,un:s3,3nd
_concerns: ku,un:s3,3ns
_conclude: ku,un:klo,od
_concluded: ku,un:klo:ddi,id
_concludes: ku,un:klo,ods
_concluding: ku,un:klo:d1,1ng
_conclusion: ku,un:klo:zhi,in
_conclusions: ku,un:klo:zhi,ins
_condition: ku,un:di:shi,in
_conditioned: ku,un:di:shi,ind
_conditions: ku,un:di:shi,ins
_conduct: ku,un:du,ukt
_conducted: ku,un:du,uk:ti,id
_conducting: ku,un:du,uk:t1,1ng
_conducts: ku,un:du,ukts
_conference: ka,an:fri,ins
_conferences: ka,an:fri,in:si,iz
_confidence: ka,an:fi:di,ins
_confirm: ku,un:f3,3m
_confirmed: ku,un:f3,3md
_confirming: ku,un:f3:m1,1ng
_confirms: ku,un:f3,3ms
_conflict: ka,an:fli,ikt
_conflicted: ku,un:fli,ik:t1,1ng
_conflicting: ku,un:fli,ik:ti,id
_conflicts: ka,an:fli,ikts
_congress: ka,an:gre,es
_congresses: ka,an:gre:si,iz
_connect: ku:ne,ekt
_connected: ku:ne,ek:ti,id
_connecting: ku:ne,ek:t1,1ng
_connection: ku:ne,ek:shi,in
_connections: ku:ne,ek:shi,ins
_connects: ku:ne,ekts
_consequence: ka,an:si:kwe,ens
_consequences: ka,an:si:kwe,en:si,iz
_conservative: ku,un:s3:vi:ddi,iv
_consider: ku,un:si:d3
_considered: ku,un:si:d3,3d
_considers: ku,un:si:d3,3s
_construction: ku,un:stru,uk:shi,in
_constructions: ku,un:stru,uk:shi,ins
_consumer: ku,un:so:m3
_consumers: ku,un:so:m3,3z
_contact: ka,an:t@,@kt
_contain: ki,in:tA,An
_contained: ki,in:tA,And
_containing: ki,in:tA:n1,1ng
_contains: ki,in:tA,Ans
_contemporaries: ku,un:te,em:p0,0r:A,Ar:rE,Ez
_contemporary: ku,un:te,em:p0,0r:A,Ar:rE
_content: ka,an:te,ent
_contents: ka,an:te,ents
_context: ka,an:te,ekst
_contexts: ka,an:te,eksts
_continue: ku,un:ti,in:nU
